MAE,MSE
139.65645,205.15367
321.25488,434.26993
137.15866,206.85692
223.50954,291.30017
165.67912,227.88914
237.17178,306.40686
127.81207,183.37854
274.02353,365.92102
109.14917,167.16675
224.84435,312.77432
111.92885,168.51604
223.11002,304.64923
116.90569,172.44308
215.527,289.2003
112.4765,167.17438
218.68265,286.1087
116.31175,160.6822
206.89627,266.70193
124.20767,180.32787
208.2005,269.0053
115.27719,173.12994
200.78688,256.2345
113.459625,171.71742
194.63129,247.57864
117.55862,177.4574
147.92409,195.80872
92.61135,142.38321
107.126205,139.4512
101.77389,148.87631
224.56357,317.79712
113.07221,162.38292
158.58698,211.83267
97.321945,145.64394
113.776665,153.47226
95.46697,135.93938
150.24324,201.27357
89.112564,132.93929
128.55539,171.31448
91.52597,136.83487
138.52057,184.52602
85.7226,125.31493
159.9517,215.81647
84.347046,122.45831
161.63351,216.97774
82.95595,120.685356
193.62837,254.98863
89.17695,125.17373
135.41048,185.35565
79.4044,117.368484
178.71884,255.94295
158.40877,210.05559
86.1151,130.57341
85.60246,125.32108
126.61322,179.60147
353.08618,432.16098
88.410995,132.45537
100.54762,152.91457
119.3493,184.52193
188.21399,234.84949
100.924095,140.98015
88.642296,132.31664
216.57797,317.30142
142.05351,192.32147
112.27402,153.72348
118.95663,163.23662
238.84306,319.5526
103.96783,144.3405
104.8839,144.18428
154.3559,210.24588
207.38303,296.4094
131.43771,182.73004
136.1609,172.8999
162.8221,226.36397
247.42825,370.8257
159.64671,214.40155
113.61696,153.58206
129.09962,188.58438
212.83162,306.0359
148.47778,198.57938
110.761826,150.3703
108.442375,171.49623
149.43741,233.42686
97.3996,138.55585
91.51658,131.04303
157.92348,222.90793
196.48154,293.95682
149.23154,210.76422
120.21861,157.70952
144.31705,184.60452
234.39359,327.37347
231.54417,288.66614
104.62144,151.73845
100.66666,147.04399
220.5628,301.12946
183.80775,247.16714
111.7201,155.15591
105.35358,152.43593
175.58711,269.80563
110.22667,170.4169
94.37692,132.16272
106.77621,145.13394
220.72867,296.49374
207.37401,289.25095
88.71268,126.7227
111.24234,155.19533
209.48195,289.8842
187.06143,258.82117
118.074905,153.87029
133.88676,185.69197
236.79443,336.5677
204.7046,269.27716
